bgg_id,name,year,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,cooperative,compilation,compilation_of,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id,game_type,designer,artist,mechanic,category,family,publisher,avg_time
1,Die Macher,1986.0,3.0,5.0,4.0,5.0,5.0,5.0,14.0,14.02777777777778,240.0,240.0,,,,,,369.0,5632.0,7.60139,1.5751,7.06367,4.3144,1.1666666666666663,,,,,,,Strategy Game,Karl-Heinz Schmiel,,,,,,
2,Dragonmaster,1981.0,3.0,4.0,3.0,4.0,3.0,4.0,12.0,,30.0,30.0,,,,2174,,4490.0,584.0,6.65823,1.46752,5.76599,1.9636,,,,,,,,Strategy Game,"G. W. ""Jerry"" D'Arcey",Bob Pepper,Trick-taking,,,,30.0
3,Samurai,1998.0,2.0,4.0,2.0,4.0,3.0,3.0,10.0,9.733333333333333,30.0,60.0,,,,,,252.0,15863.0,7.45913,1.19279,7.22869,2.4784,1.006578947368421,,,,,,,Strategy Game,Reiner Knizia,Franz Vohwinkel,,,,,45.0
4,Tal der Könige,1992.0,2.0,4.0,2.0,4.0,2.0,4.0,12.0,,60.0,60.0,,,,,,5990.0,351.0,6.62296,1.23667,5.6666,2.6667,,,,,,,,Strategy Game,Christian Beierer,Thomas di Paolo,,Ancient,,KOSMOS,60.0
5,Acquire,1964.0,2.0,6.0,3.0,6.0,4.0,4.0,12.0,11.728571428571428,90.0,90.0,,,,,,319.0,19494.0,7.33439,1.33603,7.12541,2.4985,1.095890410958904,,,,,,,Strategy Game,Sid Sackson,,,,,,90.0
6,Mare Mediterraneum,1989.0,2.0,6.0,2.0,6.0,2.0,6.0,12.0,,240.0,240.0,,,,,,12146.0,84.0,6.54583,1.66285,5.54166,3.0,,,,,,,,,Jean du Poël,Jean du Poël,Dice Rolling,,,Historien Spiele Galerie (Historien Spielegalerie),
7,Cathedral,1978.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,,20.0,20.0,,,,,,2203.0,3504.0,6.53356,1.34404,6.12556,1.7872,,,,,,,,Abstract Game,Robert P. Moore,S. Mattusek,,,,,20.0
8,Lords of Creation,1993.0,2.0,5.0,2.0,5.0,2.0,5.0,12.0,,120.0,120.0,,,,,,10575.0,209.0,6.05493,1.36835,5.55656,2.4,,,,,,,,,Martin Wallace,Bryan King,Modular Board,,,,120.0
9,El Caballero,1998.0,2.0,4.0,2.0,4.0,2.0,4.0,13.0,,90.0,90.0,,,,,,3348.0,1423.0,6.44667,1.43825,5.89661,3.1867,,,,,,,,Strategy Game,,Doris Matthäus,,Exploration,Game: El Grande,,90.0
10,Elfenland,1998.0,2.0,6.0,3.0,6.0,4.0,4.0,10.0,8.11111111111111,60.0,60.0,,,,711,,1251.0,8706.0,6.68721,1.25205,6.45397,2.157,1.0,,,,,,,Family Game,Alan R. Moon,,,,,,60.0
11,Bohnanza,1997.0,2.0,7.0,3.0,7.0,4.0,5.0,12.0,8.10919540229885,45.0,45.0,,,,,,501.0,43523.0,7.04409,1.29768,6.93174,1.6714,1.0294117647058822,,,,,,,Family Game,Uwe Rosenberg,,,,,,45.0
